Date,Inverted Position,Trend, Inverted Position
2023-10-10,19.0,DGRSZ,
2023-10-10,18.0,Nowa Zelandia,
2023-10-10,17.0,Bezpieczna Polska,
2023-10-10,16.0,Różański,
2023-10-10,15.0,dowódca operacyjny,
2023-10-10,14.0,Maciej Klisz,
2023-10-10,13.0,Krzysztof Maj,
2023-10-10,12.0,Żydów,
2023-10-10,11.0,madison,
2023-10-10,10.0,Misiewicza,
2023-10-10,9.0,Egipt,
2023-10-10,8.0,Pytania,
2023-10-10,7.0,Dobski,
2023-10-10,6.0,SZ RP,
2023-10-10,5.0,Bliskim Wschodzie,
2023-10-10,4.0,Grażyna,
2023-10-10,3.0,Dymisja,
2023-10-10,2.0,Danuta,
2023-10-10,1.0,Wazon,
2023-10-10,50.0,#debata,
2023-10-10,49.0,Morawiecki,
2023-10-10,48.0,Tusk,
2023-10-10,47.0,Hołownia,
2023-10-10,46.0,Błaszczak,
2023-10-10,45.0,#5sosgliwice,
2023-10-10,44.0,Izraela,
2023-10-10,43.0,Bosak,
2023-10-10,42.0,Kukuła,
2023-10-10,41.0,Hamas,
2023-10-10,40.0,#MuremZaPolskimMundurem,
2023-10-10,39.0,#TylkoPiS,
2023-10-10,38.0,#WojskoPorzucaPiS,
2023-10-10,37.0,Gazy,
2023-10-10,36.0,Andrzejczak,
2023-10-10,35.0,Generałowie,
2023-10-10,34.0,Rachoń,
2023-10-10,33.0,Piotrowskiego,
2023-10-10,32.0,Pinokio,
2023-10-10,31.0,Palestyńczyków,
2023-10-10,30.0,Gazie,
2023-10-10,29.0,Eden Hazard,
2023-10-10,28.0,IPSOS,
2023-10-10,27.0,Kraśnika,
2023-10-10,26.0,Pakuj,
2023-10-10,25.0,Gaza,
2023-10-10,24.0,Macierewicza,
2023-10-10,23.0,Szczęśliwej Polki,
2023-10-10,22.0,Wielgus,
2023-10-10,21.0,Armii,
2023-10-10,20.0,Palestyny,
2023-10-10,19.0,Żydzi,
2023-10-10,18.0,pan maj,
2023-10-10,17.0,Bezpieczna Polska,
2023-10-10,16.0,DGRSZ,
2023-10-10,15.0,Nowa Zelandia,
2023-10-10,14.0,dowódca operacyjny,
2023-10-10,13.0,Maciej Klisz,
2023-10-10,12.0,Pytania,
2023-10-10,11.0,Krzysztof Maj,
2023-10-10,10.0,Różański,
2023-10-10,9.0,Egipt,
2023-10-10,8.0,Madison,
2023-10-10,7.0,Żydów,
2023-10-10,6.0,Misiewicza,
2023-10-10,5.0,Dymisja,
2023-10-10,4.0,SZ RP,
2023-10-10,3.0,Bliskim Wschodzie,
2023-10-10,2.0,Euro 2032,
2023-10-10,1.0,Bydgoszczą,
2023-10-10,50.0,#debata,
2023-10-10,49.0,Morawiecki,
2023-10-10,48.0,Tusk,
2023-10-10,47.0,Hołownia,
2023-10-10,46.0,Błaszczak,
2023-10-10,45.0,Izraela,
2023-10-10,44.0,Bosak,
2023-10-10,43.0,#5sosgliwice,
2023-10-10,42.0,Kukuła,
2023-10-10,41.0,Hamas,
2023-10-10,40.0,#MuremZaPolskimMundurem,
2023-10-10,39.0,#TylkoPiS,
2023-10-10,38.0,#WojskoPorzucaPiS,
2023-10-10,37.0,Andrzejczak,
2023-10-10,36.0,Gazy,
2023-10-10,35.0,Generałowie,
2023-10-10,34.0,Rachoń,
2023-10-10,33.0,Pinokio,
2023-10-10,32.0,Piotrowskiego,
2023-10-10,31.0,Palestyńczyków,
2023-10-10,30.0,Szczęśliwej Polki,
2023-10-10,29.0,Wielgus,
2023-10-10,28.0,Pakuj,
2023-10-10,27.0,Eden Hazard,
2023-10-10,26.0,Gazie,
2023-10-10,25.0,Kraśnika,
2023-10-10,24.0,IPSOS,
2023-10-10,23.0,Macierewicza,
2023-10-10,22.0,Gaza,
2023-10-10,21.0,Żydzi,
2023-10-10,20.0,Armii,
2023-10-10,19.0,Palestyny,
2023-10-10,18.0,pan maj,
2023-10-10,17.0,Bezpieczna Polska,
2023-10-10,16.0,DGRSZ,
2023-10-10,15.0,Krzysztof Maj,
2023-10-10,14.0,Pytania,
2023-10-10,13.0,dowódca operacyjny,
2023-10-10,12.0,Maciej Klisz,
2023-10-10,11.0,Różański,
2023-10-10,10.0,Podlasia,
2023-10-10,9.0,madison,
2023-10-10,8.0,Egipt,
2023-10-10,7.0,Żydów,
2023-10-10,6.0,Dymisja,
2023-10-10,5.0,Bliskim Wschodzie,
2023-10-10,4.0,SZ RP,
2023-10-10,3.0,Grażyna,
2023-10-10,2.0,Misiewicza,
2023-10-10,1.0,Hubert Hurkacz,
2023-10-10,50.0,#debata,
2023-10-10,49.0,Morawiecki,
2023-10-10,48.0,Tusk,
2023-10-10,47.0,Hołownia,
2023-10-10,46.0,Błaszczak,
2023-10-10,45.0,Bosak,
2023-10-10,44.0,Izraela,
2023-10-10,43.0,#5sosgliwice,
2023-10-10,42.0,Kukuła,
2023-10-10,41.0,#MuremZaPolskimMundurem,
2023-10-10,40.0,Hamas,
2023-10-10,39.0,#TylkoPiS,
2023-10-10,38.0,#WojskoPorzucaPiS,
2023-10-10,37.0,Andrzejczak,
2023-10-10,36.0,Generałowie,
2023-10-10,35.0,Gazy,
2023-10-10,34.0,Rachoń,
2023-10-10,33.0,IPSOS,
2023-10-10,32.0,Pinokio,
2023-10-10,31.0,Piotrowskiego,
2023-10-10,30.0,Maciej Klisz,
2023-10-10,29.0,Palestyńczyków,
2023-10-10,28.0,Pakuj,
2023-10-10,27.0,Wielgus,
2023-10-10,26.0,Gazie,
2023-10-10,25.0,Eden Hazard,
2023-10-10,24.0,Kraśnika,
2023-10-10,23.0,Macierewicza,
2023-10-10,22.0,Gaza,
2023-10-10,21.0,Armii,
2023-10-10,20.0,Żydzi,
2023-10-10,19.0,Krzysztof Maj,
2023-10-10,18.0,Palestyny,
2023-10-10,17.0,Pytania,
2023-10-10,16.0,Bezpieczna Polska,
2023-10-10,15.0,pan maj,
2023-10-10,14.0,Salernitany,
2023-10-10,13.0,DGRSZ,
2023-10-10,12.0,madison,
2023-10-10,11.0,Podlasia,
2023-10-10,10.0,Grażyna,
2023-10-10,9.0,Dowódca Operacyjny,
2023-10-10,8.0,Egipt,
2023-10-10,7.0,Różański,
2023-10-10,6.0,Bliskim Wschodzie,
2023-10-10,5.0,Żydów,
2023-10-10,4.0,Dymisja,
2023-10-10,3.0,Misiewicza,
2023-10-10,2.0,Hubert Hurkacz,
2023-10-10,1.0,Bydgoszczą,
2023-10-10,50.0,#debata,
2023-10-10,49.0,Morawiecki,
2023-10-10,48.0,Tusk,
2023-10-10,47.0,Hołownia,
2023-10-10,46.0,Błaszczak,
2023-10-10,45.0,Bosak,
2023-10-10,44.0,Izraela,
2023-10-10,43.0,Hamas,
2023-10-10,42.0,#MuremZaPolskimMundurem,
2023-10-10,41.0,#TylkoPiS,
2023-10-10,40.0,Kukuła,
2023-10-10,39.0,#5sosgliwice,
2023-10-10,38.0,#WojskoPorzucaPiS,
2023-10-10,37.0,Generałowie,
2023-10-10,36.0,Andrzejczak,
2023-10-10,35.0,Gazy,
2023-10-10,34.0,IPSOS,
2023-10-10,33.0,Rachoń,
2023-10-10,32.0,Pinokio,
2023-10-10,31.0,Piotrowskiego,
2023-10-10,30.0,namjoon,
2023-10-10,29.0,Maciej Klisz,
2023-10-10,28.0,Macierewicza,
2023-10-10,27.0,Wielgus,
2023-10-10,26.0,Pakuj,
2023-10-10,25.0,Eden Hazard,
2023-10-10,24.0,Palestyńczyków,
2023-10-10,23.0,Kraśnika,
2023-10-10,22.0,Gazie,
2023-10-10,21.0,DGRSZ,
2023-10-10,20.0,Gaza,
2023-10-10,19.0,Bezpieczna Polska,
2023-10-10,18.0,Żydzi,
2023-10-10,17.0,Palestyny,
2023-10-10,16.0,Armii,
2023-10-10,15.0,Krzysztof Maj,
2023-10-10,14.0,Pytania,
2023-10-10,13.0,bezpartyjnych,
2023-10-10,12.0,Prezydent Andrzej Duda,
2023-10-10,11.0,pan maj,
2023-10-10,10.0,Salernitany,
2023-10-10,9.0,Sił Zbrojnych RP,
2023-10-10,8.0,madison,
2023-10-10,7.0,Grażyna,
2023-10-10,6.0,Różański,
2023-10-10,5.0,Dowódca Operacyjny,
2023-10-10,4.0,Egipt,
2023-10-10,3.0,Podlasia,
2023-10-10,2.0,Bliskim Wschodzie,
2023-10-10,1.0,Hubert Hurkacz,
2023-10-10,50.0,#debata,
2023-10-10,49.0,Morawiecki,
2023-10-10,48.0,Tusk,
2023-10-10,47.0,Hołownia,
2023-10-10,46.0,Błaszczak,
2023-10-10,45.0,Bosak,
2023-10-10,44.0,Izraela,
2023-10-10,43.0,Hamas,
2023-10-10,42.0,Kukuła,
2023-10-10,41.0,#TylkoPiS,
2023-10-10,40.0,#MuremZaPolskimMundurem,
2023-10-10,39.0,#WojskoPorzucaPiS,
2023-10-10,38.0,#5sosgliwice,
2023-10-10,37.0,Generałowie,
2023-10-10,36.0,Gazy,
2023-10-10,35.0,Andrzejczaka,
2023-10-10,34.0,IPSOS,
2023-10-10,33.0,Rachoń,
2023-10-10,32.0,Maciej Klisz,
2023-10-10,31.0,Macierewicza,
2023-10-10,30.0,Pinokio,
2023-10-10,29.0,Piotrowskiego,
2023-10-10,28.0,namjoon,
2023-10-10,27.0,Wielgus,
2023-10-10,26.0,kraśnika,
2023-10-10,25.0,Pakuj,
2023-10-10,24.0,Palestyńczyków,
2023-10-10,23.0,Eden Hazard,
2023-10-10,22.0,Siłach Zbrojnych RP,
2023-10-10,21.0,Gazie,
2023-10-10,20.0,DGRSZ,
2023-10-10,19.0,Gaza,
2023-10-10,18.0,Pytania,
2023-10-10,17.0,Armii,
2023-10-10,16.0,Bezpieczna Polska,
2023-10-10,15.0,Palestyny,
2023-10-10,14.0,Żydzi,
2023-10-10,13.0,Krzysztof Maj,
2023-10-10,12.0,bezpartyjnych,
2023-10-10,11.0,Paulo Sousa,
2023-10-10,10.0,Prezydent Andrzej Duda,
2023-10-10,9.0,pan maj,
2023-10-10,8.0,wale miedzeszyńskim,
2023-10-10,7.0,madison,
2023-10-10,6.0,Egipt,
2023-10-10,5.0,Grażyna,
2023-10-10,4.0,Różański,
2023-10-10,3.0,Dowódca Operacyjny,
2023-10-10,2.0,Smoleńsku,
2023-10-10,1.0,Bliskim Wschodzie,
2023-10-10,50.0,#debata,
2023-10-10,49.0,Morawiecki,
2023-10-10,48.0,Tusk,
2023-10-10,47.0,Hołownia,
2023-10-10,46.0,Bosak,
2023-10-10,45.0,Błaszczaka,
2023-10-10,44.0,Izraela,
2023-10-10,43.0,Kukuła,
2023-10-10,42.0,Hamas,
2023-10-10,41.0,#TylkoPiS,
2023-10-10,40.0,#MuremZaPolskimMundurem,
2023-10-10,39.0,#WojskoPorzucaPiS,
2023-10-10,38.0,Maciej Klisz,
2023-10-10,37.0,#5sosgliwice,
2023-10-10,36.0,Rachoń,
2023-10-10,35.0,Gazy,
2023-10-10,34.0,Generałowie,
2023-10-10,33.0,Andrzejczak,
2023-10-10,32.0,Pinokio,
2023-10-10,31.0,Wielgus,
2023-10-10,30.0,Piotrowskiego,
2023-10-10,29.0,kraśnika,
2023-10-10,28.0,Eden Hazard,
2023-10-10,27.0,Pakuj,
2023-10-10,26.0,Palestyńczyków,
2023-10-10,25.0,SEVENTEEN,
2023-10-10,24.0,Macierewicza,
2023-10-10,23.0,Gazie,
2023-10-10,22.0,Siłach Zbrojnych RP,
2023-10-10,21.0,DGRSZ,
2023-10-10,20.0,Szef BBN,
2023-10-10,19.0,Gaza,
2023-10-10,18.0,Palestyny,
2023-10-10,17.0,Żydzi,
2023-10-10,16.0,Armii,
2023-10-10,15.0,Bezpieczna Polska,
2023-10-10,14.0,Pytania,
2023-10-10,13.0,Krzysztof Maj,
2023-10-10,12.0,Prezydent Andrzej Duda,
2023-10-10,11.0,Bezpartyjnych,
2023-10-10,10.0,madison,
2023-10-10,9.0,Egipt,
2023-10-10,8.0,pan maj,
2023-10-10,7.0,wale miedzeszyńskim,
2023-10-10,6.0,IPSOS,
2023-10-10,5.0,Smoleńsku,
2023-10-10,4.0,Pucz,
2023-10-10,3.0,Dmowski,
2023-10-10,2.0,Bliskim Wschodzie,
2023-10-10,1.0,Grażyna,
2023-10-10,50.0,#debata,
2023-10-10,49.0,Morawiecki,
2023-10-10,48.0,Tusk,
2023-10-10,47.0,Hołownia,
2023-10-10,46.0,Bosak,
2023-10-10,45.0,Izraela,
2023-10-10,44.0,Błaszczak,
2023-10-10,43.0,#TylkoPiS,
2023-10-10,42.0,Hamas,
2023-10-10,41.0,#MuremZaPolskimMundurem,
2023-10-10,40.0,#WojskoPorzucaPiS,
2023-10-10,39.0,Rachoń,
2023-10-10,38.0,Gazy,
2023-10-10,37.0,#5sosgliwice,
2023-10-10,36.0,Generałowie,
2023-10-10,35.0,Andrzejczak,
2023-10-10,34.0,Pinokio,
2023-10-10,33.0,Kukuła,
2023-10-10,32.0,Wielgus,
2023-10-10,31.0,Piotrowskiego,
2023-10-10,30.0,Palestyńczyków,
2023-10-10,29.0,Eden Hazard,
2023-10-10,28.0,Kraśnika,
2023-10-10,27.0,SEVENTEEN,
2023-10-10,26.0,Pakuj,
2023-10-10,25.0,gazie,
2023-10-10,24.0,Dowództwo Generalne,
2023-10-10,23.0,Szef BBN,
2023-10-10,22.0,Gaza,
2023-10-10,21.0,Palestyny,
2023-10-10,20.0,Krzysztof Maj,
2023-10-10,19.0,Żydzi,
2023-10-10,18.0,Pytania,
2023-10-10,17.0,Bezpieczna Polska,
2023-10-10,16.0,egipt,
2023-10-10,15.0,Polko,
2023-10-10,14.0,Bezpartyjnych,
2023-10-10,13.0,DGRSZ,
2023-10-10,12.0,Armii,
2023-10-10,11.0,lexy,
2023-10-10,10.0,madison,
2023-10-10,9.0,pan maj,
2023-10-10,8.0,Bliskim Wschodzie,
2023-10-10,7.0,wale miedzeszyńskim,
2023-10-10,6.0,Smoleńsku,
2023-10-10,5.0,Dmowski,
2023-10-10,4.0,Lecha Kaczyńskiego,
2023-10-10,3.0,Szymczyk,
2023-10-10,2.0,Żydów,
2023-10-10,1.0,Grażyna,
2023-10-10,50.0,#debata,
2023-10-10,49.0,Morawiecki,
2023-10-10,48.0,Tusk,
2023-10-10,47.0,Hołownia,
2023-10-10,46.0,Bosak,
2023-10-10,45.0,Izraela,
2023-10-10,44.0,#MuremZaPolskimMundurem,
2023-10-10,43.0,Błaszczak,
2023-10-10,42.0,#TylkoPiS,
2023-10-10,41.0,Hamas,
2023-10-10,40.0,#WojskoPorzucaPiS,
2023-10-10,39.0,Rachoń,
2023-10-10,38.0,Gazy,
2023-10-10,37.0,Generałowie,
2023-10-10,36.0,#5sosgliwice,
2023-10-10,35.0,Andrzejczaka,
2023-10-10,34.0,Pinokio,
2023-10-10,33.0,Dowództwo Generalne,
2023-10-10,32.0,Frank,
2023-10-10,31.0,Wielgus,
2023-10-10,30.0,Piotrowskiego,
2023-10-10,29.0,Kukuła,
2023-10-10,28.0,Euro 2032,
2023-10-10,27.0,Palestyńczyków,
2023-10-10,26.0,Eden Hazard,
2023-10-10,25.0,Kraśnika,
2023-10-10,24.0,Pakuj,
2023-10-10,23.0,Gazie,
2023-10-10,22.0,Euro 2028,
2023-10-10,21.0,Palestyny,
2023-10-10,20.0,pytania,
2023-10-10,19.0,Gaza,
2023-10-10,18.0,Szef BBN,
2023-10-10,17.0,Krzysztof Maj,
2023-10-10,16.0,Żydzi,
2023-10-10,15.0,Bezpieczna Polska,
2023-10-10,14.0,Pamięci 95,
2023-10-10,13.0,egipt,
2023-10-10,12.0,Polko,
2023-10-10,11.0,DGRSZ,
2023-10-10,10.0,Bliskim Wschodzie,
2023-10-10,9.0,Bezpartyjnych,
2023-10-10,8.0,banda rudego,
2023-10-10,7.0,Armii,
2023-10-10,6.0,pan maj,
2023-10-10,5.0,wale miedzeszyńskim,
2023-10-10,4.0,madison,
2023-10-10,3.0,Lecha Kaczyńskiego,
2023-10-10,2.0,Policji,
2023-10-10,1.0,wazon,
2023-10-10,50.0,#debata,
2023-10-10,49.0,Morawiecki,
2023-10-10,48.0,Tusk,
2023-10-10,47.0,Hołownia,
2023-10-10,46.0,Bosak,
2023-10-10,45.0,#MuremZaPolskimMundurem,
2023-10-10,44.0,Izraela,
2023-10-10,43.0,Błaszczak,
2023-10-10,42.0,#TylkoPiS,
2023-10-10,41.0,Hamas,
2023-10-10,40.0,Generałowie,
2023-10-10,39.0,#WojskoPorzucaPiS,
2023-10-10,38.0,Rachoń,
2023-10-10,37.0,Andrzejczak,
2023-10-10,36.0,Gazy,
2023-10-10,35.0,Pinokio,
2023-10-10,34.0,#Pandoragate,
2023-10-10,33.0,Eden Hazard,
2023-10-10,32.0,Dowództwa Generalnego,
2023-10-10,31.0,Wielgus,
2023-10-10,30.0,Kukuła,
2023-10-10,29.0,Frank,
2023-10-10,28.0,Palestyńczyków,
2023-10-10,27.0,Piotrowski,
2023-10-10,26.0,Euro 2032,
2023-10-10,25.0,Kraśnika,
2023-10-10,24.0,krzysztof maj,
2023-10-10,23.0,Gazie,
2023-10-10,22.0,Pakuj,
2023-10-10,21.0,Pytania,
2023-10-10,20.0,Szef BBN,
2023-10-10,19.0,Palestyny,
2023-10-10,18.0,Euro 2028,
2023-10-10,17.0,Gaza,
2023-10-10,16.0,Żydzi,
2023-10-10,15.0,Panie Generale,
2023-10-10,14.0,DGRSZ,
2023-10-10,13.0,Macierewicza,
2023-10-10,12.0,Bezpieczna Polska,
2023-10-10,11.0,Egipt,
2023-10-10,10.0,Policji,
2023-10-10,9.0,Chelsea,
2023-10-10,8.0,Armii,
2023-10-10,7.0,Kaczyński,
2023-10-10,6.0,Bliskim Wschodzie,
2023-10-10,5.0,Bezpartyjnych,
2023-10-10,4.0,banda rudego,
2023-10-10,3.0,Żydów,
2023-10-10,2.0,madison,
2023-10-10,1.0,pan maj,
2023-10-10,50.0,#debata,
2023-10-10,49.0,Morawiecki,
2023-10-10,48.0,Tusk,
2023-10-10,47.0,Hołownia,
2023-10-10,46.0,Bosak,
2023-10-10,45.0,#MuremZaPolskimMundurem,
2023-10-10,44.0,Błaszczak,
2023-10-10,43.0,Izraela,
2023-10-10,42.0,#TylkoPiS,
2023-10-10,41.0,Hamas,
2023-10-10,40.0,Generałowie,
2023-10-10,39.0,Rachoń,
2023-10-10,38.0,#WojskoPorzucaPiS,
2023-10-10,37.0,Eden Hazard,
2023-10-10,36.0,Gazy,
2023-10-10,35.0,Pinokio,
2023-10-10,34.0,Wielgus,
2023-10-10,33.0,Kukuła,
2023-10-10,32.0,Andrzejczaka,
2023-10-10,31.0,#Pandoragate,
2023-10-10,30.0,Piotrowskiego,
2023-10-10,29.0,Frank,
2023-10-10,28.0,Palestyńczyków,
2023-10-10,27.0,Euro 2032,
2023-10-10,26.0,Kraśnika,
2023-10-10,25.0,Krzysztof Maj,
2023-10-10,24.0,Euro 2028,
2023-10-10,23.0,Gazie,
2023-10-10,22.0,Palestyny,
2023-10-10,21.0,Pytania,
2023-10-10,20.0,Chelsea,
2023-10-10,19.0,Pakuj,
2023-10-10,18.0,Gaza,
2023-10-10,17.0,Żydzi,
2023-10-10,16.0,Panie Generale,
2023-10-10,15.0,Macierewicz,
2023-10-10,14.0,Bezpieczna Polska,
2023-10-10,13.0,Bezpieczna Polska,
2023-10-10,12.0,Egipt,
2023-10-10,11.0,Lexy,
2023-10-10,10.0,Różański,
2023-10-10,9.0,Bliskim Wschodzie,
2023-10-10,8.0,Żydów,
2023-10-10,7.0,Bezpartyjnych,
2023-10-10,6.0,banda rudego,
2023-10-10,5.0,Pan Maj,
2023-10-10,4.0,madison,
2023-10-10,3.0,wale miedzeszyńskim,
2023-10-10,2.0,Dowódcy Operacyjnego,
2023-10-10,1.0,Armii,
2023-10-10,50.0,#debata,
2023-10-10,49.0,Morawiecki,
2023-10-10,48.0,Tusk,
2023-10-10,47.0,Hołownia,
2023-10-10,46.0,Bosak,
2023-10-10,45.0,#MuremZaPolskimMundurem,
2023-10-10,44.0,#MuremZaPolskimMundurem,
2023-10-10,43.0,Błaszczaka,
2023-10-10,42.0,Izraela,
2023-10-10,41.0,#TylkoPiS,
2023-10-10,40.0,Hamas,
2023-10-10,39.0,Eden Hazard,
2023-10-10,38.0,Generałowie,
2023-10-10,37.0,Rachoń,
2023-10-10,36.0,Andrzejczaka,
2023-10-10,35.0,Gazy,
2023-10-10,34.0,Kukuła,
2023-10-10,33.0,Pinokio,
2023-10-10,32.0,Piotrowskiego,
2023-10-10,31.0,EURO 2032,
2023-10-10,30.0,Wielgus,
2023-10-10,29.0,#Pandoragate,
2023-10-10,28.0,Palestyńczyków,
2023-10-10,27.0,Euro 2028,
2023-10-10,26.0,Chelsea,
2023-10-10,25.0,Pytania,
2023-10-10,24.0,Palestyny,
2023-10-10,23.0,Bezpieczna Polska,
2023-10-10,22.0,Krzysztof Maj,
2023-10-10,21.0,Gazie,
2023-10-10,20.0,Kraśnika,
2023-10-10,19.0,Pakuj,
2023-10-10,18.0,Gaza,
2023-10-10,17.0,Żydzi,
2023-10-10,16.0,Panie Generale,
2023-10-10,15.0,Egipt,
2023-10-10,14.0,Żydów,
2023-10-10,13.0,Bezpartyjnych,
2023-10-10,12.0,Bliskim Wschodzie,
2023-10-10,11.0,Banda Rudego,
2023-10-10,10.0,Siłach Zbrojnych,
2023-10-10,9.0,Armia,
2023-10-10,8.0,Realu,
2023-10-10,7.0,Prezydent,
2023-10-10,6.0,Pan Maj,
2023-10-10,5.0,wale miedzeszyńskim,
2023-10-10,4.0,SZ RP,
2023-10-10,3.0,Bydgoszczą,
2023-10-10,2.0,Wazon,
2023-10-10,1.0,Palestyńczycy,
2023-10-10,50.0,#debata,
2023-10-10,49.0,Morawiecki,
2023-10-10,48.0,Tusk,
2023-10-10,47.0,Hołownia,
2023-10-10,46.0,Błaszczaka,
2023-10-10,45.0,Bosak,
2023-10-10,44.0,#MuremZaPolskimMundurem,
2023-10-10,43.0,#MuremZaPolskimMundurem,
2023-10-10,42.0,Izraela,
2023-10-10,41.0,#TylkoPiS,
2023-10-10,40.0,Hamas,
2023-10-10,39.0,Eden Hazard,
2023-10-10,38.0,Generałowie,
2023-10-10,37.0,Andrzejczak,
2023-10-10,36.0,Rachoń,
2023-10-10,35.0,Gazy,
2023-10-10,34.0,Piotrowskiego,
2023-10-10,33.0,Pinokio,
2023-10-10,32.0,Kukuła,
2023-10-10,31.0,Wielgus,
2023-10-10,30.0,Bezpieczna Polska,
2023-10-10,29.0,#Pandoragate,
2023-10-10,28.0,Palestyńczyków,
2023-10-10,27.0,Nicki Pedersen,
2023-10-10,26.0,Palestyny,
2023-10-10,25.0,Pytania,
2023-10-10,24.0,Krzysztof Maj,
2023-10-10,23.0,Kraśnika,
2023-10-10,22.0,Gazie,
2023-10-10,21.0,Gaza,
2023-10-10,20.0,Dowódca Operacyjny,
2023-10-10,19.0,CBŚP,
2023-10-10,18.0,Pakuj,
2023-10-10,17.0,Bydgoszczą,
2023-10-10,16.0,Dymisja,
2023-10-10,15.0,Żydzi,
2023-10-10,14.0,Armii,
2023-10-10,13.0,Szef Sztabu Generalnego,
2023-10-10,12.0,Żydów,
2023-10-10,11.0,Bezpartyjnych,
2023-10-10,10.0,Egipt,
2023-10-10,9.0,Miłego,
2023-10-10,8.0,Bliskim Wschodzie,
2023-10-10,7.0,Banda Rudego,
2023-10-10,6.0,Siłach Zbrojnych,
2023-10-10,5.0,Różański,
2023-10-10,4.0,Pan Maj,
2023-10-10,3.0,wale miedzeszyńskim,
2023-10-10,2.0,Chelsea,
2023-10-10,1.0,Palestyńczycy,
2023-10-10,50.0,#debata,
2023-10-10,49.0,Morawiecki,
2023-10-10,48.0,Tusk,
2023-10-10,47.0,Hołownia,
2023-10-10,46.0,Błaszczak,
2023-10-10,45.0,Bosak,
2023-10-10,44.0,Izraela,
2023-10-10,43.0,#MuremZaPolskimMundurem,
2023-10-10,42.0,Rajmund Andrzejczak,
2023-10-10,41.0,#TylkoPiS,
2023-10-10,40.0,Hamas,
2023-10-10,39.0,Wojska Polskiego,
2023-10-10,38.0,Rachoń,
2023-10-10,37.0,Gazy,
2023-10-10,36.0,Pinokio,
2023-10-10,35.0,Generałowie,
2023-10-10,34.0,Tomasz Piotrowski,
2023-10-10,33.0,Bezpieczna Polska,
2023-10-10,32.0,Kukuła,
2023-10-10,31.0,Dowódca Operacyjny,
2023-10-10,30.0,Wielgus,
2023-10-10,29.0,Palestyńczyków,
2023-10-10,28.0,#Pandoragate,
2023-10-10,27.0,Armii,
2023-10-10,26.0,#minela8,
2023-10-10,25.0,Palestyny,
2023-10-10,24.0,Nicki Pedersen,
2023-10-10,23.0,Pytania,
2023-10-10,22.0,Miłego,
2023-10-10,21.0,Kraśnika,
2023-10-10,20.0,Gazie,
2023-10-10,19.0,Gaza,
2023-10-10,18.0,CBŚP,
2023-10-10,17.0,Żydzi,
2023-10-10,16.0,Bydgoszczą,
2023-10-10,15.0,Pakuj,
2023-10-10,14.0,Żydów,
2023-10-10,13.0,Woronicza,
2023-10-10,12.0,Egipt,
2023-10-10,11.0,Bezpartyjnych,
2023-10-10,10.0,Banda Rudego,
2023-10-10,9.0,Bliskim Wschodzie,
2023-10-10,8.0,Palestyńczycy,
2023-10-10,7.0,Dobrego,
2023-10-10,6.0,Pan Maj,
2023-10-10,5.0,wale miedzeszyńskim,
2023-10-10,4.0,Wazon,
2023-10-10,3.0,Kochasz,
2023-10-10,2.0,Jadzia,
2023-10-10,1.0,Wygrał,
2023-10-10,50.0,#debata,
2023-10-10,49.0,Morawiecki,
2023-10-10,48.0,Morawiecki,
2023-10-10,47.0,Hołownia,
2023-10-10,46.0,Bosak,
2023-10-10,45.0,Izraela,
2023-10-10,44.0,Rajmund Andrzejczak,
2023-10-10,43.0,#TylkoPiS,
2023-10-10,42.0,Hamas,
2023-10-10,41.0,Błaszczaka,
2023-10-10,40.0,Rachoń,
2023-10-10,39.0,Dowódca Operacyjny,
2023-10-10,38.0,Gazy,
2023-10-10,37.0,Pinokio,
2023-10-10,36.0,#minela8,
2023-10-10,35.0,Generałowie,
2023-10-10,34.0,Tomasz Piotrowski,
2023-10-10,33.0,Miłego,
2023-10-10,32.0,Wielgus,
2023-10-10,31.0,#Cyber24Day,
2023-10-10,30.0,#MuremZaPolskimMundurem,
2023-10-10,29.0,Palestyńczyków,
2023-10-10,28.0,Palestyny,
2023-10-10,27.0,Bezpieczna Polska,
2023-10-10,26.0,Pytania,
2023-10-10,25.0,Wojsku Polskim,
2023-10-10,24.0,Dobrego,
2023-10-10,23.0,Kraśnika,
2023-10-10,22.0,Żydzi,
2023-10-10,21.0,CBŚP,
2023-10-10,20.0,Pakuj,
2023-10-10,19.0,Gaza,
2023-10-10,18.0,Gazie,
2023-10-10,17.0,Żydów,
2023-10-10,16.0,Woronicza,
2023-10-10,15.0,Bezpartyjnych,
2023-10-10,14.0,Egipt,
2023-10-10,13.0,Palestyńczycy,
2023-10-10,12.0,Banda Rudego,
2023-10-10,11.0,Wygrał,
2023-10-10,10.0,Rzeczpospolita,
2023-10-10,9.0,wale miedzeszyńskim,
2023-10-10,8.0,Pan Maj,
2023-10-10,7.0,Bliskim Wschodzie,
2023-10-10,6.0,Jadzia,
2023-10-10,5.0,Wazon,
2023-10-10,4.0,Kochasz,
2023-10-10,3.0,Rachuj,
2023-10-10,2.0,Wypadł,
2023-10-10,1.0,Madison,
2023-10-10,50.0,#debata,
2023-10-10,49.0,Morawiecki,
2023-10-10,48.0,Morawiecki,
2023-10-10,47.0,Hołownia,
2023-10-10,46.0,Bosak,
2023-10-10,45.0,Izraela,
2023-10-10,44.0,#TylkoPiS,
2023-10-10,43.0,Hamas,
2023-10-10,42.0,Rachoń,
2023-10-10,41.0,#minela8,
